evt_day,cumulative_l1_calldata_cost_usd,cumulative_l2_rev_usd,cumulative_margin_usd
2024-01-01 00:00:00.000 UTC,<nil>,0,0
2024-02-01 00:00:00.000 UTC,-291700.0009127812,793613.9700768029,501913.96916402166
2024-03-01 00:00:00.000 UTC,-4.605729311731015e+06,8.438399462590931e+06,3.832670150859916e+06
2024-04-01 00:00:00.000 UTC,-6.696207439390538e+06,1.1637706092389394e+07,4.941498652998855e+06
2024-05-01 00:00:00.000 UTC,-7.825713625685391e+06,1.4629777115514848e+07,6.804063489829457e+06
2024-06-01 00:00:00.000 UTC,-7.836354845600239e+06,1.829236268275357e+07,1.045600783715333e+07
2024-07-01 00:00:00.000 UTC,-7.841784044811588e+06,1.886510969147196e+07,1.1023325646660373e+07
