attester,attest_count,recipient_count
0x357458739f90461b99789350868cd7cf330dd7ee,514031,350962
0x7e823ae179592525301ceb33b3ec479f8c66ecb9,45655,10007
0xd350f597cef325eccbbe2f26b9cbf16d50c220bd,5759,922
0x79b6ee8a008e1a0d1e8727731a2b3f9d6126011b,4157,54
0x2a2ea826102c067ece82bc6e2b7cf38d7ebb1b82,3157,3150
