Day,# Attestations
2024-02-19 00:00:00.000 UTC,599
2024-02-18 00:00:00.000 UTC,932
2024-02-17 00:00:00.000 UTC,679
2024-02-16 00:00:00.000 UTC,614
2024-02-15 00:00:00.000 UTC,520
2024-02-14 00:00:00.000 UTC,524
2024-02-13 00:00:00.000 UTC,523
2024-02-12 00:00:00.000 UTC,552
2024-02-11 00:00:00.000 UTC,616
2024-02-10 00:00:00.000 UTC,539
2024-02-09 00:00:00.000 UTC,422
2024-02-08 00:00:00.000 UTC,507
2024-02-07 00:00:00.000 UTC,733
2024-02-06 00:00:00.000 UTC,631
2024-02-05 00:00:00.000 UTC,864
2024-02-04 00:00:00.000 UTC,1018
2024-02-03 00:00:00.000 UTC,1105
2024-02-02 00:00:00.000 UTC,1225
2024-02-01 00:00:00.000 UTC,1832
2024-01-31 00:00:00.000 UTC,1345
2024-01-30 00:00:00.000 UTC,226
2024-01-29 00:00:00.000 UTC,314
2024-01-28 00:00:00.000 UTC,372
2024-01-27 00:00:00.000 UTC,394
2024-01-26 00:00:00.000 UTC,444
2024-01-25 00:00:00.000 UTC,312
2024-01-24 00:00:00.000 UTC,270
2024-01-23 00:00:00.000 UTC,208
2024-01-22 00:00:00.000 UTC,420
2024-01-21 00:00:00.000 UTC,500
2024-01-20 00:00:00.000 UTC,384
2024-01-19 00:00:00.000 UTC,220
2024-01-18 00:00:00.000 UTC,206
2024-01-17 00:00:00.000 UTC,226
2024-01-16 00:00:00.000 UTC,215
2024-01-15 00:00:00.000 UTC,272
2024-01-14 00:00:00.000 UTC,262
2024-01-13 00:00:00.000 UTC,318
2024-01-12 00:00:00.000 UTC,422
2024-01-11 00:00:00.000 UTC,376
2024-01-10 00:00:00.000 UTC,308
2024-01-09 00:00:00.000 UTC,448
2024-01-08 00:00:00.000 UTC,376
2024-01-07 00:00:00.000 UTC,350
2024-01-06 00:00:00.000 UTC,410
2024-01-05 00:00:00.000 UTC,448
2024-01-04 00:00:00.000 UTC,302
2024-01-03 00:00:00.000 UTC,252
2024-01-02 00:00:00.000 UTC,178
2024-01-01 00:00:00.000 UTC,114
2023-12-31 00:00:00.000 UTC,216
2023-12-30 00:00:00.000 UTC,288
2023-12-29 00:00:00.000 UTC,250
2023-12-28 00:00:00.000 UTC,192
2023-12-27 00:00:00.000 UTC,118
2023-12-26 00:00:00.000 UTC,134
2023-12-25 00:00:00.000 UTC,90
2023-12-24 00:00:00.000 UTC,98
2023-12-23 00:00:00.000 UTC,144
2023-12-22 00:00:00.000 UTC,144
2023-12-21 00:00:00.000 UTC,135
2023-12-20 00:00:00.000 UTC,172
2023-12-19 00:00:00.000 UTC,152
2023-12-18 00:00:00.000 UTC,126
2023-12-17 00:00:00.000 UTC,194
2023-12-16 00:00:00.000 UTC,120
2023-12-15 00:00:00.000 UTC,102
2023-12-14 00:00:00.000 UTC,108
2023-12-13 00:00:00.000 UTC,172
2023-12-12 00:00:00.000 UTC,190
2023-12-11 00:00:00.000 UTC,208
2023-12-10 00:00:00.000 UTC,280
2023-12-09 00:00:00.000 UTC,308
2023-12-08 00:00:00.000 UTC,302
2023-12-07 00:00:00.000 UTC,400
2023-12-06 00:00:00.000 UTC,380
2023-12-05 00:00:00.000 UTC,104
2023-12-04 00:00:00.000 UTC,152
2023-12-03 00:00:00.000 UTC,182
2023-12-02 00:00:00.000 UTC,146
2023-12-01 00:00:00.000 UTC,112
2023-11-30 00:00:00.000 UTC,160
2023-11-29 00:00:00.000 UTC,294
2023-11-28 00:00:00.000 UTC,338
2023-11-27 00:00:00.000 UTC,288
2023-11-26 00:00:00.000 UTC,214
2023-11-25 00:00:00.000 UTC,230
2023-11-24 00:00:00.000 UTC,114
2023-11-23 00:00:00.000 UTC,204
2023-11-22 00:00:00.000 UTC,170
2023-11-21 00:00:00.000 UTC,154
2023-11-20 00:00:00.000 UTC,154
2023-11-19 00:00:00.000 UTC,298
2023-11-18 00:00:00.000 UTC,222
2023-11-17 00:00:00.000 UTC,221
2023-11-16 00:00:00.000 UTC,258
2023-11-15 00:00:00.000 UTC,464
2023-11-14 00:00:00.000 UTC,358
2023-11-13 00:00:00.000 UTC,242
2023-11-12 00:00:00.000 UTC,222
2023-11-11 00:00:00.000 UTC,315
2023-11-10 00:00:00.000 UTC,252
2023-11-09 00:00:00.000 UTC,168
2023-11-08 00:00:00.000 UTC,186
2023-11-07 00:00:00.000 UTC,172
2023-11-06 00:00:00.000 UTC,170
2023-11-05 00:00:00.000 UTC,238
2023-11-04 00:00:00.000 UTC,230
2023-11-03 00:00:00.000 UTC,160
2023-11-02 00:00:00.000 UTC,256
2023-11-01 00:00:00.000 UTC,30
2023-10-31 00:00:00.000 UTC,92
2023-10-30 00:00:00.000 UTC,166
2023-10-29 00:00:00.000 UTC,136
2023-10-28 00:00:00.000 UTC,124
2023-10-27 00:00:00.000 UTC,124
2023-10-26 00:00:00.000 UTC,216
2023-10-25 00:00:00.000 UTC,347
2023-10-24 00:00:00.000 UTC,356
2023-10-23 00:00:00.000 UTC,160
2023-10-22 00:00:00.000 UTC,196
2023-10-21 00:00:00.000 UTC,170
2023-10-20 00:00:00.000 UTC,108
2023-10-19 00:00:00.000 UTC,210
2023-10-18 00:00:00.000 UTC,250
2023-10-17 00:00:00.000 UTC,282
2023-10-16 00:00:00.000 UTC,239
2023-10-15 00:00:00.000 UTC,330
2023-10-14 00:00:00.000 UTC,348
2023-10-13 00:00:00.000 UTC,300
2023-10-12 00:00:00.000 UTC,276
2023-10-11 00:00:00.000 UTC,413
2023-10-10 00:00:00.000 UTC,226
2023-10-09 00:00:00.000 UTC,288
2023-10-08 00:00:00.000 UTC,266
2023-10-07 00:00:00.000 UTC,256
2023-10-06 00:00:00.000 UTC,352
2023-10-05 00:00:00.000 UTC,310
2023-10-04 00:00:00.000 UTC,546
2023-10-03 00:00:00.000 UTC,196
2023-10-02 00:00:00.000 UTC,160
2023-10-01 00:00:00.000 UTC,200
2023-09-30 00:00:00.000 UTC,282
2023-09-29 00:00:00.000 UTC,346
2023-09-28 00:00:00.000 UTC,635
2023-09-27 00:00:00.000 UTC,620
2023-09-26 00:00:00.000 UTC,84
2023-09-25 00:00:00.000 UTC,52
2023-09-24 00:00:00.000 UTC,66
2023-09-23 00:00:00.000 UTC,61
2023-09-22 00:00:00.000 UTC,84
2023-09-21 00:00:00.000 UTC,108
2023-09-20 00:00:00.000 UTC,156
2023-09-19 00:00:00.000 UTC,116
2023-09-18 00:00:00.000 UTC,130
2023-09-17 00:00:00.000 UTC,170
2023-09-16 00:00:00.000 UTC,112
2023-09-15 00:00:00.000 UTC,190
2023-09-14 00:00:00.000 UTC,170
2023-09-13 00:00:00.000 UTC,156
2023-09-12 00:00:00.000 UTC,214
2023-09-11 00:00:00.000 UTC,180
2023-09-10 00:00:00.000 UTC,276
2023-09-09 00:00:00.000 UTC,208
2023-09-08 00:00:00.000 UTC,252
2023-09-07 00:00:00.000 UTC,314
2023-09-06 00:00:00.000 UTC,604
2023-09-05 00:00:00.000 UTC,750
2023-09-04 00:00:00.000 UTC,1168
2023-09-03 00:00:00.000 UTC,1263
2023-09-02 00:00:00.000 UTC,1834
2023-09-01 00:00:00.000 UTC,1963
2023-08-31 00:00:00.000 UTC,3456
2023-08-30 00:00:00.000 UTC,4591
2023-08-24 00:00:00.000 UTC,4
2023-08-23 00:00:00.000 UTC,4
2023-08-21 00:00:00.000 UTC,2
