Day,# Attestations
2024-01-19 00:00:00.000 UTC,46468
2024-01-20 00:00:00.000 UTC,46852
2024-01-21 00:00:00.000 UTC,47352
2024-01-22 00:00:00.000 UTC,47772
2024-01-23 00:00:00.000 UTC,47980
2024-01-24 00:00:00.000 UTC,48250
2024-01-25 00:00:00.000 UTC,48562
2024-01-26 00:00:00.000 UTC,49006
2024-01-27 00:00:00.000 UTC,49400
2024-01-28 00:00:00.000 UTC,49772
2024-01-29 00:00:00.000 UTC,50086
2024-01-30 00:00:00.000 UTC,50312
2024-01-31 00:00:00.000 UTC,51657
2024-02-01 00:00:00.000 UTC,53489
2024-02-02 00:00:00.000 UTC,54714
2024-02-03 00:00:00.000 UTC,55819
2024-02-04 00:00:00.000 UTC,56837
2024-02-05 00:00:00.000 UTC,57701
2024-02-06 00:00:00.000 UTC,58332
2024-02-07 00:00:00.000 UTC,59065
2024-02-08 00:00:00.000 UTC,59572
2024-02-09 00:00:00.000 UTC,59994
2024-02-10 00:00:00.000 UTC,60533
2024-02-11 00:00:00.000 UTC,61149
2024-02-12 00:00:00.000 UTC,61701
2024-02-13 00:00:00.000 UTC,62224
2024-02-14 00:00:00.000 UTC,62748
2024-02-15 00:00:00.000 UTC,63268
2024-02-16 00:00:00.000 UTC,63882
2024-02-17 00:00:00.000 UTC,64561
2024-02-18 00:00:00.000 UTC,65493
2024-02-19 00:00:00.000 UTC,66092
2024-02-20 00:00:00.000 UTC,66590
2024-02-21 00:00:00.000 UTC,67222
2024-02-22 00:00:00.000 UTC,67686
2024-02-23 00:00:00.000 UTC,68174
2024-02-24 00:00:00.000 UTC,68846
2024-02-25 00:00:00.000 UTC,69506
2024-02-26 00:00:00.000 UTC,69988
2024-02-27 00:00:00.000 UTC,70694
2024-02-28 00:00:00.000 UTC,71400
2024-02-29 00:00:00.000 UTC,71761
2024-03-01 00:00:00.000 UTC,72238
2024-03-02 00:00:00.000 UTC,72628
2024-03-03 00:00:00.000 UTC,73030
2024-03-04 00:00:00.000 UTC,73282
2024-03-05 00:00:00.000 UTC,73497
2024-03-06 00:00:00.000 UTC,73673
2024-03-07 00:00:00.000 UTC,73875
2024-03-08 00:00:00.000 UTC,74067
2024-03-09 00:00:00.000 UTC,74438
2024-03-10 00:00:00.000 UTC,74698
2024-03-11 00:00:00.000 UTC,74922
2024-03-12 00:00:00.000 UTC,75107
2024-03-13 00:00:00.000 UTC,75253
2024-03-14 00:00:00.000 UTC,75501
2024-03-15 00:00:00.000 UTC,76097
2024-03-16 00:00:00.000 UTC,76383
2024-03-17 00:00:00.000 UTC,76661
2024-03-18 00:00:00.000 UTC,77361
2024-03-19 00:00:00.000 UTC,77665
2024-03-20 00:00:00.000 UTC,77899
2024-03-21 00:00:00.000 UTC,78299
2024-03-22 00:00:00.000 UTC,78777
2024-03-23 00:00:00.000 UTC,79217
2024-03-24 00:00:00.000 UTC,79649
2024-03-25 00:00:00.000 UTC,80051
2024-03-26 00:00:00.000 UTC,80383
2024-03-27 00:00:00.000 UTC,80689
2024-03-28 00:00:00.000 UTC,81067
2024-03-29 00:00:00.000 UTC,81759
2024-03-30 00:00:00.000 UTC,82247
2024-03-31 00:00:00.000 UTC,82631
2024-04-01 00:00:00.000 UTC,83135
2024-04-02 00:00:00.000 UTC,83491
2024-04-03 00:00:00.000 UTC,83799
2024-04-04 00:00:00.000 UTC,84149
2024-04-05 00:00:00.000 UTC,84411
2024-04-06 00:00:00.000 UTC,84767
2024-04-07 00:00:00.000 UTC,85065
2024-04-08 00:00:00.000 UTC,85305
2024-04-09 00:00:00.000 UTC,85609
2024-04-10 00:00:00.000 UTC,85909
2024-04-11 00:00:00.000 UTC,86173
2024-04-12 00:00:00.000 UTC,86333
2024-04-13 00:00:00.000 UTC,86553
2024-04-14 00:00:00.000 UTC,86697
2024-04-15 00:00:00.000 UTC,86917
2024-04-16 00:00:00.000 UTC,87249
2024-04-17 00:00:00.000 UTC,87663
2024-04-18 00:00:00.000 UTC,88227
2024-04-19 00:00:00.000 UTC,88745
2024-04-20 00:00:00.000 UTC,89305
2024-04-21 00:00:00.000 UTC,90155
2024-04-22 00:00:00.000 UTC,90756
2024-04-23 00:00:00.000 UTC,94368
2024-04-24 00:00:00.000 UTC,98325
2024-04-25 00:00:00.000 UTC,99888
2024-04-26 00:00:00.000 UTC,101006
2024-04-27 00:00:00.000 UTC,101812
2024-04-28 00:00:00.000 UTC,102738
2024-04-29 00:00:00.000 UTC,103464
2024-04-30 00:00:00.000 UTC,104030
2024-05-01 00:00:00.000 UTC,105442
2024-05-02 00:00:00.000 UTC,106342
2024-05-03 00:00:00.000 UTC,106978
2024-05-04 00:00:00.000 UTC,107482
2024-05-05 00:00:00.000 UTC,107974
2024-05-06 00:00:00.000 UTC,108416
2024-05-07 00:00:00.000 UTC,108922
2024-05-08 00:00:00.000 UTC,109262
2024-05-09 00:00:00.000 UTC,109554
2024-05-10 00:00:00.000 UTC,109774
2024-05-11 00:00:00.000 UTC,109980
2024-05-12 00:00:00.000 UTC,110204
2024-05-13 00:00:00.000 UTC,110622
2024-05-14 00:00:00.000 UTC,110926
2024-05-15 00:00:00.000 UTC,111238
2024-05-16 00:00:00.000 UTC,111428
2024-05-17 00:00:00.000 UTC,111676
2024-05-18 00:00:00.000 UTC,111866
2024-05-19 00:00:00.000 UTC,112086
2024-05-20 00:00:00.000 UTC,112234
2024-05-21 00:00:00.000 UTC,112444
2024-05-22 00:00:00.000 UTC,112792
2024-05-23 00:00:00.000 UTC,113134
2024-05-24 00:00:00.000 UTC,113301
2024-05-25 00:00:00.000 UTC,113449
2024-05-26 00:00:00.000 UTC,113587
2024-05-27 00:00:00.000 UTC,113693
2024-05-28 00:00:00.000 UTC,113803
2024-05-29 00:00:00.000 UTC,114285
2024-05-30 00:00:00.000 UTC,114859
2024-05-31 00:00:00.000 UTC,115413
2024-06-01 00:00:00.000 UTC,115737
2024-06-02 00:00:00.000 UTC,115985
2024-06-03 00:00:00.000 UTC,116427
2024-06-04 00:00:00.000 UTC,116821
2024-06-05 00:00:00.000 UTC,117303
2024-06-06 00:00:00.000 UTC,117643
2024-06-07 00:00:00.000 UTC,118253
2024-06-08 00:00:00.000 UTC,119307
2024-06-09 00:00:00.000 UTC,120049
2024-06-10 00:00:00.000 UTC,120466
2024-06-11 00:00:00.000 UTC,120998
2024-06-12 00:00:00.000 UTC,121700
2024-06-13 00:00:00.000 UTC,122194
2024-06-14 00:00:00.000 UTC,122484
2024-06-15 00:00:00.000 UTC,122742
2024-06-16 00:00:00.000 UTC,122948
2024-06-17 00:00:00.000 UTC,123128
2024-06-18 00:00:00.000 UTC,123262
2024-06-19 00:00:00.000 UTC,123444
2024-06-20 00:00:00.000 UTC,123626
2024-06-21 00:00:00.000 UTC,123768
2024-06-22 00:00:00.000 UTC,123900
2024-06-23 00:00:00.000 UTC,124050
2024-06-24 00:00:00.000 UTC,124158
2024-06-25 00:00:00.000 UTC,124272
2024-06-26 00:00:00.000 UTC,124402
2024-06-27 00:00:00.000 UTC,124500
2024-06-28 00:00:00.000 UTC,124618
2024-06-29 00:00:00.000 UTC,124732
2024-06-30 00:00:00.000 UTC,124820
2024-07-01 00:00:00.000 UTC,124988
