block_time,blockchain,total,attested_schemas,unique_attesters,unique_recipients
2023-11-27 00:00:00.000 UTC,arbitrum,66,3,3,50
2023-11-27 00:00:00.000 UTC,base,13005,10,9,8871
2023-11-27 00:00:00.000 UTC,ethereum,1,1,1,1
2023-11-27 00:00:00.000 UTC,optimism,221,21,103,140
2023-12-04 00:00:00.000 UTC,arbitrum,59,5,6,57
2023-12-04 00:00:00.000 UTC,base,32704,7,5,23155
2023-12-04 00:00:00.000 UTC,optimism,11549,21,93,11378
2023-12-04 00:00:00.000 UTC,scroll,50,2,2,3
2023-12-11 00:00:00.000 UTC,arbitrum,881,4,3,873
2023-12-11 00:00:00.000 UTC,base,6167,5,4,4046
2023-12-11 00:00:00.000 UTC,ethereum,2,2,2,2
2023-12-11 00:00:00.000 UTC,optimism,11200,23,50,4281
2023-12-18 00:00:00.000 UTC,arbitrum,14,10,8,8
2023-12-18 00:00:00.000 UTC,base,42474,6,8,30736
2023-12-18 00:00:00.000 UTC,optimism,10847,22,62,2855
2023-12-18 00:00:00.000 UTC,polygon,48,2,3,1
2023-12-25 00:00:00.000 UTC,arbitrum,5,4,2,4
2023-12-25 00:00:00.000 UTC,base,45113,4,3,31813
2023-12-25 00:00:00.000 UTC,ethereum,1,1,1,1
2023-12-25 00:00:00.000 UTC,optimism,12759,36,61,2396
2023-12-25 00:00:00.000 UTC,polygon,1,1,1,1
2024-01-01 00:00:00.000 UTC,arbitrum,3,2,2,3
2024-01-01 00:00:00.000 UTC,base,27058,3,2,18603
2024-01-01 00:00:00.000 UTC,optimism,7214,30,35,3947
2024-01-08 00:00:00.000 UTC,arbitrum,324,8,6,317
2024-01-08 00:00:00.000 UTC,base,5889,7,5,3972
2024-01-08 00:00:00.000 UTC,ethereum,2,1,1,1
2024-01-08 00:00:00.000 UTC,optimism,16320,30,54,8221
2024-01-15 00:00:00.000 UTC,arbitrum,365,7,5,259
2024-01-15 00:00:00.000 UTC,base,3855,5,3,2558
2024-01-15 00:00:00.000 UTC,ethereum,1,1,1,1
2024-01-15 00:00:00.000 UTC,optimism,11285,42,53,4693
2024-01-22 00:00:00.000 UTC,arbitrum,48,6,5,34
2024-01-22 00:00:00.000 UTC,base,3623,19,21,2437
2024-01-22 00:00:00.000 UTC,ethereum,2,1,2,2
2024-01-22 00:00:00.000 UTC,optimism,7247,41,90,4414
2024-01-29 00:00:00.000 UTC,arbitrum,31,5,4,16
2024-01-29 00:00:00.000 UTC,base,6152,21,17,4237
2024-01-29 00:00:00.000 UTC,optimism,10805,46,57,4664
2024-01-29 00:00:00.000 UTC,polygon,13,2,3,4
2024-02-05 00:00:00.000 UTC,arbitrum,18,5,5,14
2024-02-05 00:00:00.000 UTC,base,9227,10,2941,4473
2024-02-05 00:00:00.000 UTC,ethereum,4,1,1,1
2024-02-05 00:00:00.000 UTC,optimism,17363,36,40,4487
2024-02-05 00:00:00.000 UTC,polygon,9,5,6,5
2024-02-05 00:00:00.000 UTC,scroll,1,1,1,1
2024-02-12 00:00:00.000 UTC,arbitrum,22,5,4,14
2024-02-12 00:00:00.000 UTC,base,4536,10,12,3077
2024-02-12 00:00:00.000 UTC,optimism,6302,25,53,3208
2024-02-12 00:00:00.000 UTC,polygon,7,3,4,3
2024-02-19 00:00:00.000 UTC,arbitrum,18,5,4,14
2024-02-19 00:00:00.000 UTC,base,4577,15,13,3240
2024-02-19 00:00:00.000 UTC,optimism,10315,38,371,4823
2024-02-19 00:00:00.000 UTC,polygon,6,4,3,2
2024-02-19 00:00:00.000 UTC,scroll,3,3,3,3
2024-02-26 00:00:00.000 UTC,arbitrum,108,7,6,99
2024-02-26 00:00:00.000 UTC,base,8242,38,186,4135
2024-02-26 00:00:00.000 UTC,optimism,8483,44,71,3667
2024-02-26 00:00:00.000 UTC,polygon,1,1,1,1
2024-02-26 00:00:00.000 UTC,scroll,1,1,1,1
2024-03-04 00:00:00.000 UTC,arbitrum,259,6,6,253
2024-03-04 00:00:00.000 UTC,base,6096,13,11,4104
2024-03-04 00:00:00.000 UTC,optimism,1190,25,57,1150
2024-03-11 00:00:00.000 UTC,arbitrum,7,5,4,7
2024-03-11 00:00:00.000 UTC,base,6417,13,12,4213
2024-03-11 00:00:00.000 UTC,optimism,1759,16,47,1743
2024-03-11 00:00:00.000 UTC,polygon,8,2,2,2
2024-03-18 00:00:00.000 UTC,arbitrum,10,5,5,7
2024-03-18 00:00:00.000 UTC,base,5492,14,21,3547
2024-03-18 00:00:00.000 UTC,celo,46,1,1,1
2024-03-18 00:00:00.000 UTC,optimism,1833,13,58,1810
2024-03-18 00:00:00.000 UTC,polygon,14,4,6,5
2024-03-25 00:00:00.000 UTC,arbitrum,79,4,4,76
2024-03-25 00:00:00.000 UTC,base,5920,14,21,3882
2024-03-25 00:00:00.000 UTC,ethereum,1,1,1,1
2024-03-25 00:00:00.000 UTC,optimism,2446,20,53,2415
2024-04-01 00:00:00.000 UTC,arbitrum,78,9,7,55
2024-04-01 00:00:00.000 UTC,base,6930,16,30,4527
2024-04-01 00:00:00.000 UTC,celo,1,1,1,1
2024-04-01 00:00:00.000 UTC,ethereum,3,2,3,3
2024-04-01 00:00:00.000 UTC,optimism,2547,35,52,2499
2024-04-01 00:00:00.000 UTC,scroll,27,6,4,20
2024-04-08 00:00:00.000 UTC,arbitrum,147,11,10,62
2024-04-08 00:00:00.000 UTC,base,6528,17,14,4317
2024-04-08 00:00:00.000 UTC,optimism,3287,38,56,3211
2024-04-08 00:00:00.000 UTC,polygon,6,1,1,1
2024-04-08 00:00:00.000 UTC,scroll,3,3,3,3
2024-04-15 00:00:00.000 UTC,arbitrum,250,11,11,26
2024-04-15 00:00:00.000 UTC,base,9535,21,21,6314
2024-04-15 00:00:00.000 UTC,ethereum,1,1,1,1
2024-04-15 00:00:00.000 UTC,optimism,652,31,64,586
2024-04-15 00:00:00.000 UTC,polygon,12,1,1,1
2024-04-15 00:00:00.000 UTC,scroll,3,2,2,2
2024-04-22 00:00:00.000 UTC,arbitrum,189,7,8,101
2024-04-22 00:00:00.000 UTC,base,21988,24,38,17012
2024-04-22 00:00:00.000 UTC,celo,15,3,2,14
2024-04-22 00:00:00.000 UTC,ethereum,3,3,3,3
2024-04-22 00:00:00.000 UTC,optimism,839,30,67,474
2024-04-22 00:00:00.000 UTC,polygon,10,3,3,5
2024-04-22 00:00:00.000 UTC,scroll,3,2,2,2
2024-04-29 00:00:00.000 UTC,arbitrum,87,8,15,59
2024-04-29 00:00:00.000 UTC,base,23602,24,40,14873
2024-04-29 00:00:00.000 UTC,celo,2,2,2,2
2024-04-29 00:00:00.000 UTC,ethereum,4,2,2,1
2024-04-29 00:00:00.000 UTC,optimism,9415,25,79,2298
2024-04-29 00:00:00.000 UTC,scroll,3,3,3,3
2024-05-06 00:00:00.000 UTC,arbitrum,144,6,14,52
2024-05-06 00:00:00.000 UTC,base,10794,18,13,8121
2024-05-06 00:00:00.000 UTC,celo,9,1,4,2
2024-05-06 00:00:00.000 UTC,ethereum,47,1,1,1
2024-05-06 00:00:00.000 UTC,optimism,933,34,62,469
2024-05-13 00:00:00.000 UTC,arbitrum,47,5,10,21
2024-05-13 00:00:00.000 UTC,base,7912,23,27,5643
2024-05-13 00:00:00.000 UTC,celo,17,4,5,8
2024-05-13 00:00:00.000 UTC,optimism,545,31,61,347
2024-05-13 00:00:00.000 UTC,polygon,23,3,5,14
2024-05-20 00:00:00.000 UTC,arbitrum,31,7,11,23
2024-05-20 00:00:00.000 UTC,base,9163,15,14,6644
2024-05-20 00:00:00.000 UTC,celo,2,2,2,2
2024-05-20 00:00:00.000 UTC,optimism,809,20,73,252
2024-05-20 00:00:00.000 UTC,polygon,75,1,1,75
2024-05-20 00:00:00.000 UTC,scroll,3,1,1,1
2024-05-27 00:00:00.000 UTC,arbitrum,58,8,13,35
2024-05-27 00:00:00.000 UTC,base,40201,21,17,17637
2024-05-27 00:00:00.000 UTC,celo,7,2,2,4
2024-05-27 00:00:00.000 UTC,ethereum,2,2,2,1
2024-05-27 00:00:00.000 UTC,optimism,894,30,114,318
2024-05-27 00:00:00.000 UTC,polygon,34,2,2,31
2024-05-27 00:00:00.000 UTC,scroll,8,5,7,6
2024-06-03 00:00:00.000 UTC,arbitrum,69,8,15,48
2024-06-03 00:00:00.000 UTC,base,53872,31,22,31048
2024-06-03 00:00:00.000 UTC,celo,6,2,2,3
2024-06-03 00:00:00.000 UTC,optimism,1608,32,135,274
2024-06-03 00:00:00.000 UTC,polygon,39,1,1,39
2024-06-03 00:00:00.000 UTC,scroll,14,2,6,6
2024-06-10 00:00:00.000 UTC,arbitrum,36,6,16,25
2024-06-10 00:00:00.000 UTC,base,25570,24,23,19486
2024-06-10 00:00:00.000 UTC,celo,7,2,5,5
2024-06-10 00:00:00.000 UTC,ethereum,4,3,3,2
2024-06-10 00:00:00.000 UTC,optimism,404,25,95,290
2024-06-10 00:00:00.000 UTC,polygon,54,2,2,54
2024-06-10 00:00:00.000 UTC,scroll,32,1,11,15
2024-06-17 00:00:00.000 UTC,arbitrum,76,6,19,30
2024-06-17 00:00:00.000 UTC,base,13792,27,31,9677
2024-06-17 00:00:00.000 UTC,celo,5,2,4,2
2024-06-17 00:00:00.000 UTC,optimism,419,21,98,333
2024-06-17 00:00:00.000 UTC,polygon,20,1,1,20
2024-06-17 00:00:00.000 UTC,scroll,27,2,10,10
2024-06-24 00:00:00.000 UTC,arbitrum,1169,7,22,36
2024-06-24 00:00:00.000 UTC,base,19190,40,39,11945
2024-06-24 00:00:00.000 UTC,celo,34,3,5,20
2024-06-24 00:00:00.000 UTC,ethereum,3,3,2,3
2024-06-24 00:00:00.000 UTC,optimism,594,27,219,406
2024-06-24 00:00:00.000 UTC,polygon,50,2,2,46
2024-06-24 00:00:00.000 UTC,scroll,9,3,5,8
2024-07-01 00:00:00.000 UTC,arbitrum,105,7,16,52
2024-07-01 00:00:00.000 UTC,base,12351,44,65,7713
2024-07-01 00:00:00.000 UTC,celo,15,3,7,6
2024-07-01 00:00:00.000 UTC,optimism,546,21,157,254
2024-07-01 00:00:00.000 UTC,polygon,8,1,1,8
2024-07-01 00:00:00.000 UTC,scroll,5,1,2,4
2024-07-08 00:00:00.000 UTC,arbitrum,61,5,13,33
2024-07-08 00:00:00.000 UTC,base,12518,20,42,8148
2024-07-08 00:00:00.000 UTC,celo,2,2,2,2
2024-07-08 00:00:00.000 UTC,ethereum,2,2,2,2
2024-07-08 00:00:00.000 UTC,optimism,660,28,180,312
2024-07-08 00:00:00.000 UTC,polygon,19,1,1,19
2024-07-08 00:00:00.000 UTC,scroll,58189,2,17159,42603
2024-07-15 00:00:00.000 UTC,arbitrum,62,6,20,21
2024-07-15 00:00:00.000 UTC,base,14488,18,22,9693
2024-07-15 00:00:00.000 UTC,celo,2,1,1,1
2024-07-15 00:00:00.000 UTC,ethereum,1,1,1,1
2024-07-15 00:00:00.000 UTC,optimism,1240,31,237,383
2024-07-15 00:00:00.000 UTC,polygon,230,1,1,230
2024-07-15 00:00:00.000 UTC,scroll,443976,15,87652,271704
2024-07-22 00:00:00.000 UTC,arbitrum,91,5,24,31
2024-07-22 00:00:00.000 UTC,base,15622,14,13,10884
2024-07-22 00:00:00.000 UTC,celo,22,3,5,5
2024-07-22 00:00:00.000 UTC,ethereum,1,1,1,1
2024-07-22 00:00:00.000 UTC,optimism,471,30,76,261
2024-07-22 00:00:00.000 UTC,polygon,42,1,1,42
2024-07-22 00:00:00.000 UTC,scroll,247263,6,68632,130468
2024-07-29 00:00:00.000 UTC,arbitrum,37,2,8,12
2024-07-29 00:00:00.000 UTC,base,2191,6,4,1708
2024-07-29 00:00:00.000 UTC,celo,5,2,3,4
2024-07-29 00:00:00.000 UTC,optimism,104,13,22,71
2024-07-29 00:00:00.000 UTC,polygon,3,1,1,3
2024-07-29 00:00:00.000 UTC,scroll,32282,2,6257,19785
